floor,apartment,room,planned_capacity
1,BeerSheva,101,6
1,BeerSheva,102,6
1,Ashkelon,103,6
1,Ashkelon,104,6
1,Ashdod,105,6
1,Ashdod,106,6
1,Eilat,107,6
1,Eilat,108,6
2,Jerusalem,201,6
2,Jerusalem,202,6
2,Hebron,203,6
2,Hebron,204,6
2,Rehovot,205,6
2,Rehovot,206,6
2,Yafo,207,6
2,Yafo,208,6
2,Yafo,209,6
2,Yafo,210,6
2,Yavne,211,6
2,Yavne,212,6
3,Zichron,301,6
3,Zichron,302,6
3,Zichron,303,6
3,Zichron,304,6
3,Akko,305,6
3,Akko,306,6
3,Akko,307,6
3,Akko,308,6
3,Akko,309,6
3,Akko,310,6
3,Metula,311,6
3,Metula,312,6
